Extractor,Classifier,accuracy,precision,recall,f1,attack_detection_rate,false_attack_rate
LSTM,XGBoost,0.8669201520912547,0.746268656716418,0.4854368932038835,0.5882352941176471,48.54368932038835,4.0189125295508275
LSTM,KNN,0.6806083650190115,0.32432432432432434,0.5825242718446602,0.4166666666666667,58.252427184466015,29.550827423167846
LSTM,SVM,0.8460076045627376,0.6078431372549019,0.6019417475728155,0.6048780487804878,60.19417475728155,9.456264775413711
LSTM,LogReg,0.7813688212927756,0.46296296296296297,0.7281553398058253,0.5660377358490566,72.81553398058253,20.56737588652482
CNN1D,XGBoost,0.7661596958174905,0.2222222222222222,0.07766990291262135,0.11510791366906475,7.766990291262135,6.619385342789598
CNN1D,KNN,0.5114068441064639,0.1968503937007874,0.4854368932038835,0.2801120448179272,48.54368932038835,48.226950354609926
CNN1D,SVM,0.6749049429657795,0.3045977011494253,0.5145631067961165,0.38267148014440433,51.45631067961165,28.60520094562648
CNN1D,LogReg,0.6349809885931559,0.28292682926829266,0.5631067961165048,0.37662337662337664,56.310679611650485,34.751773049645394
Autoencoder,XGBoost,0.7661596958174905,0.35714285714285715,0.24271844660194175,0.28901734104046245,24.271844660194176,10.638297872340425
Autoencoder,KNN,0.5513307984790875,0.24324324324324326,0.6116504854368932,0.34806629834254144,61.165048543689316,46.335697399527184
Autoencoder,SVM,0.7129277566539924,0.34615384615384615,0.5242718446601942,0.416988416988417,52.42718446601942,24.113475177304963
Autoencoder,LogReg,0.6615969581749049,0.3036649214659686,0.5631067961165048,0.3945578231292517,56.310679611650485,31.44208037825059
