Extractor,Classifier,accuracy,precision,recall,f1,attack_detection_rate,false_attack_rate
LSTM,XGBoost,0.857278782112274,0.7794117647058824,0.4690265486725664,0.585635359116022,46.902654867256636,3.6363636363636362
LSTM,KNN,0.8411037107516651,0.7920792079207921,0.35398230088495575,0.4892966360856269,35.39823008849557,2.5454545454545454
LSTM,SVM,0.873453853472883,0.8549618320610687,0.49557522123893805,0.6274509803921569,49.557522123893804,2.3030303030303028
LSTM,LogReg,0.8058991436726927,0.7894736842105263,0.13274336283185842,0.22727272727272727,13.274336283185843,0.9696969696969697
CNN1D,XGBoost,0.7621313035204567,0.22727272727272727,0.04424778761061947,0.07407407407407407,4.424778761061947,4.121212121212121
CNN1D,KNN,0.7611798287345385,0.2222222222222222,0.04424778761061947,0.07380073800738007,4.424778761061947,4.242424242424243
CNN1D,SVM,0.7849666983824929,0.0,0.0,0.0,0.0,0.0
CNN1D,LogReg,0.7849666983824929,0.0,0.0,0.0,0.0,0.0
Autoencoder,XGBoost,0.8249286393910561,0.6810344827586207,0.3495575221238938,0.4619883040935672,34.95575221238938,4.484848484848484
Autoencoder,KNN,0.7735490009514748,0.43478260869565216,0.17699115044247787,0.25157232704402516,17.699115044247787,6.303030303030304
Autoencoder,SVM,0.8287345385347288,0.7948717948717948,0.2743362831858407,0.40789473684210525,27.43362831858407,1.9393939393939394
Autoencoder,LogReg,0.8182683158896289,0.6277372262773723,0.3805309734513274,0.4738292011019284,38.05309734513274,6.181818181818182
